n,arm,boundaryCalls,transcriptBytes,transcriptTokens,processedTokens,finalContextTokens,wallMs
1,baseline,4,59199,14800,40318,15095,2224
1,mdcp,1,1854,464,1124,794,2102
2,baseline,8,103131,25783,128122,26079,10473
2,mdcp,1,2221,555,1215,885,10159
3,baseline,12,142354,35589,256904,35886,11783
3,mdcp,1,2585,646,1306,976,13237
4,baseline,16,201898,50475,440139,50772,17482
4,mdcp,1,2946,737,1397,1067,20849
6,baseline,24,244934,61234,900382,61531,16545
6,mdcp,1,3217,804,1464,1134,18282
8,baseline,32,286254,71564,1444429,71861,20322
8,mdcp,1,3488,872,1532,1202,20130
10,baseline,40,389772,97443,2130001,97742,19973
10,mdcp,1,4241,1060,1720,1390,22994
